pos	DEL	INS
247	40	60
248	40	69
249	62	88
250	85	66
251	71	71
252	51	58
253	52	69
254	53	71
255	54	98
256	50	94
257	24	134
258	30	153
259	23	134
260	20	80
261	15	40
262	17	33
263	51	61
264	55	60
265	61	59
266	42	52
267	33	36
268	71	53
269	62	52
270	80	67
271	50	62
272	67	66
273	143	51
274	200	59
275	205	65
276	161	57
277	64	39
278	33	17
279	38	23
280	29	39
281	47	52
282	48	57
283	52	47
284	39	33
285	30	27
286	84	38
287	93	41
288	105	51
289	76	51
290	166	76
291	196	87
292	203	159
293	173	142
294	113	122
295	188	62
296	497	76
297	490	95
298	473	115
299	259	86
300	204	65
301	186	50
302	207	41
303	164	34
304	735	857
305	711	853
306	687	850
307	153	528
308	146	307
309	257	161
310	253	99
311	248	119
312	59	102
313	30	101
314	29	77
315	29	60
316	32	47
317	26	41
318	23	36
319	65	37
320	463	158
321	464	156
322	417	150
323	71	67
324	74	52
325	184	555
326	195	559
327	237	774
328	129	353
329	88	296
330	74	262
331	61	114
332	53	88
333	72	71
334	72	85
335	72	67
336	74	87
337	15	77
338	45	79
339	92	74
340	120	87
341	94	115
342	56	123
343	35	109
344	20	81
345	14	65
346	5	66
347	12	81
348	18	99
349	33	107
350	29	102
351	24	95
352	10	74
353	17	197
354	15	180
355	23	223
356	25	229
357	23	234
358	28	250
359	27	120
360	34	103
361	22	55
362	18	55
363	23	41
364	32	49
365	29	30
366	29	34
367	37	55
368	45	105
369	38	112
370	37	127
371	31	66
372	29	62
373	12	48
374	119	44
375	138	50
376	160	36
377	186	31
378	188	24
379	155	15
380	266	65
381	220	63
382	207	66
383	193	43
384	465	45
385	489	42
386	499	62
387	107	51
388	57	46
389	68	29
390	172	18
391	373	12
392	357	11
393	453	15
394	367	43
395	271	61
396	299	61
397	306	44
398	309	36
399	282	37
400	247	46
401	247	67
402	240	97
403	229	105
404	244	98
405	233	73
406	73	94
407	68	92
408	146	83
409	143	50
410	142	41
411	266	39
412	286	41
413	396	49
414	209	44
415	169	41
416	34	29
417	37	26
418	41	21
419	35	24
420	35	31
421	31	78
422	46	94
423	46	96
424	62	73
425	60	68
426	698	62
427	717	54
428	709	39
429	92	115
430	31	117
431	56	119
432	60	65
433	69	58
434	76	47
435	77	50
436	68	42
437	47	44
438	84	35
439	108	46
440	100	54
441	65	50
442	53	44
443	51	29
444	80	33
445	165	60
446	163	69
447	123	71
448	59	45
449	99	52
450	89	39
451	1925	198
452	1896	195
453	1879	186
454	263	130
455	67	60
456	81	49
457	120	54
458	165	54
459	176	69
460	341	56
461	323	60
462	292	53
463	167	45
464	186	57
465	116	50
466	113	63
467	79	62
468	25	65
469	26	57
470	44	52
471	70	58
472	69	63
473	53	87
474	30	70
475	33	75
476	33	58
477	30	44
478	38	29
479	58	29
480	126	34
481	121	45
482	115	64
483	110	63
484	199	76
485	208	80
486	170	73
487	151	101
488	88	91
489	54	110
490	60	112
491	53	113
492	57	170
493	50	159
494	45	144
495	38	96
496	35	63
497	23	48
498	66	47
499	60	46
500	61	45
501	14	40
502	15	40
503	16	89
504	16	84
505	80	118
506	89	91
507	95	97
508	23	65
509	21	59
510	12	68
511	10	75
512	10	76
513	9	66
514	47	73
515	47	67
516	48	56
517	21	58
518	25	55
519	25	53
520	20	49
521	37	38
522	50	61
523	78	65
524	109	91
525	95	97
526	115	98
527	113	85
528	100	61
529	44	40
530	31	39
531	27	32
532	31	46
533	37	38
534	76	50
535	72	47
536	70	54
537	90	56
538	88	45
539	102	34
540	53	22
541	48	29
542	43	37
543	39	61
544	31	75
545	25	78
546	54	93
547	106	94
548	106	90
549	94	66
550	83	58
551	84	50
552	76	46
553	39	34
554	19	40
555	15	52
556	26	48
557	28	46
558	57	36
559	52	30
560	40	23
561	70	50
562	64	45
563	73	50
564	83	48
565	144	84
566	186	81
567	173	67
568	144	40
569	134	29
570	160	48
571	101	52
572	87	50
573	54	39
574	95	34
575	102	37
576	97	42
577	43	36
578	70	36
579	64	32
580	63	57
581	33	51
582	59	54
583	71	44
584	74	53
585	60	61
586	71	55
587	80	39
588	127	68
589	103	77
590	109	87
591	62	70
592	62	56
593	53	57
594	65	94
595	57	97
596	55	95
597	59	61
598	280	52
599	292	35
600	323	36
601	130	26
602	192	34
603	266	39
604	287	56
605	169	140
606	112	147
607	99	170
608	145	170
609	135	274
610	178	248
611	137	207
612	133	139
613	119	129
614	115	142
615	179	152
616	205	116
617	187	158
618	157	135
619	99	132
620	133	91
621	104	79
622	98	82
623	73	103
624	66	88
625	58	62
626	59	31
627	65	25
628	66	29
629	111	27
630	135	34
631	168	34
632	153	39
633	240	33
634	705	139
635	690	133
636	618	133
637	203	54
638	149	31
639	157	27
640	202	28
641	208	35
642	167	37
643	72	33
644	64	35
645	71	46
646	98	48
647	98	54
648	102	44
649	91	51
650	85	53
651	80	51
652	79	41
653	73	43
654	72	76
655	69	80
656	82	77
657	99	42
658	102	33
659	102	43
660	172	57
661	189	74
662	189	76
663	94	85
664	169	91
665	149	88
666	170	95
667	165	101
668	91	115
669	79	148
670	103	161
671	99	152
672	117	149
673	129	119
674	132	122
675	115	117
676	149	126
677	130	112
678	115	80
679	86	76
680	84	62
681	85	53
682	102	65
683	98	68
684	93	62
685	91	54
686	89	33
687	87	47
688	166	53
689	299	78
690	322	89
691	293	81
692	250	67
693	130	59
694	92	62
695	86	57
696	112	247
697	176	249
698	170	272
699	154	177
700	124	78
701	152	63
702	149	59
703	140	67
704	79	65
705	84	73
706	85	74
707	104	62
708	159	78
709	162	108
710	156	179
711	70	172
712	71	167
713	65	114
714	58	95
715	66	75
716	63	57
717	58	41
718	56	44
719	100	63
720	101	65
721	96	54
722	81	34
723	132	42
724	151	60
725	165	61
726	120	56
727	97	41
728	101	52
729	102	63
730	82	61
731	28	78
732	48	102
733	73	151
734	75	142
735	77	129
736	68	100
737	66	91
738	56	99
739	32	72
740	27	58
741	22	36
742	30	50
743	94	82
744	95	89
745	108	65
746	76	31
747	44	15
748	31	12
749	51	10
750	57	12
751	53	22
752	41	39
753	36	43
754	132	39
755	132	27
756	132	29
757	53	28
758	59	43
759	60	48
760	74	50
761	61	63
762	48	72
763	243	103
764	254	94
765	264	87
766	502	90
767	571	93
768	564	96
769	145	63
770	159	54
771	137	55
772	116	45
773	168	47
774	133	49
775	145	42
776	143	38
777	159	23
778	215	16
779	231	34
780	216	40
781	418	42
782	411	28
783	395	19
784	445	22
785	457	30
786	512	41
787	517	51
788	562	65
789	531	75
790	549	74
791	535	85
792	585	86
793	613	96
794	614	99
795	585	88
796	576	83
797	639	93
798	634	114
799	656	126
800	665	107
801	657	96
802	636	75
803	625	80
804	613	66
805	703	55
806	676	39
807	674	32
808	588	22
809	564	15
810	545	31
811	222	40
812	214	42
813	202	32
814	211	26
815	202	21
816	286	30
817	238	50
818	278	88
819	166	97
820	130	105
821	128	119
822	119	103
823	117	104
824	112	82
825	464	77
826	452	62
827	450	65
828	29	164
829	23	162
830	20	153
831	17	64
832	14	39
833	23	32
834	26	34
835	41	42
836	49	41
837	37	56
838	25	60
839	24	58
840	44	47
841	44	37
842	67	38
843	66	56
844	66	75
845	57	76
846	21	77
847	28	69
848	26	76
849	19	78
850	18	76
851	12	57
852	8	53
853	6	55
854	16	64
855	20	56
856	22	40
857	24	26
858	22	40
859	34	41
860	39	50
861	49	37
862	200	39
863	203	33
864	200	38
865	53	79
866	52	89
867	53	87
868	92	44
869	742	28
870	744	26
871	712	33
872	73	36
873	106	42
874	106	58
875	139	60
876	88	66
877	71	49
878	149	49
879	103	54
880	103	57
881	59	58
882	55	47
883	62	43
884	54	35
885	95	28
886	90	18
887	176	13
888	154	10
889	223	8
890	424	23
891	475	43
892	415	42
893	506	31
894	455	14
895	470	22
896	147	38
897	198	40
898	192	37
899	114	30
900	37	75
901	25	96
902	24	93
903	19	73
904	68	44
905	147	31
906	192	65
907	165	63
908	154	66
909	123	35
910	112	33
911	78	46
912	78	75
913	80	78
914	82	73
915	97	72
916	90	66
917	94	58
918	57	50
919	76	33
920	97	27
921	143	28
922	126	59
923	127	61
924	79	68
925	113	75
926	343	69
927	338	54
928	350	35
929	223	36
930	157	37
931	101	39
932	181	46
933	192	40
934	206	41
935	134	47
936	78	45
937	45	40
938	32	31
939	32	31
940	42	46
941	40	48
942	39	51
943	28	39
944	22	45
945	22	52
946	83	77
947	98	73
948	96	71
949	30	64
950	26	76
951	22	70
952	44	59
953	71	74
954	70	75
955	68	66
956	17	54
957	14	36
958	17	44
959	12	34
960	9	21
961	10	29
962	42	28
963	62	29
964	70	18
965	45	24
966	22	32
967	15	26
968	4	31
969	2	24
970	0	17
971	0	9
972	0	2
973	0	1
974	0	0
975	0	0
976	0	0
977	0	0
978	0	0
979	0	0
980	0	0
981	0	0
982	0	0
983	0	0
984	0	0
985	0	0
986	0	0
987	0	0
988	0	0
989	0	0
990	0	0
991	0	0
992	0	0
993	0	0
994	0	0
995	0	0
996	0	0
997	0	0
998	0	0
999	0	0
1000	0	0
